"","x"
"sa100662.pdf.croatia",8
"sa100662.pdf.decis",7
"sa100662.pdf.measur",7
"sa100662.pdf.notifi",6
"sa100662.pdf.scheme",6
"sa100662.pdf.speed",6
"sa100662.pdf.download",5
"sa100662.pdf.plan",5
"sa100662.pdf.regul",5
"sa100662.pdf.articl",4
"sa15145.pdf.servic",137
"sa15145.pdf.provid",78
"sa15145.pdf.broadband",60
"sa15145.pdf.measur",30
"sa15145.pdf.commiss",28
"sa15145.pdf.agreement",24
"sa15145.pdf.author",24
"sa15145.pdf.project",22
"sa15145.pdf.provis",20
"sa15145.pdf.aid",19
"sa16564.pdf.project",63
"sa16564.pdf.infrastructur",57
"sa16564.pdf.servic",47
"sa16564.pdf.market",41
"sa16564.pdf.oper",41
"sa16564.pdf.atlas",38
"sa16564.pdf.provid",38
"sa16564.pdf.busi",31
"sa16564.pdf.telecom",28
"sa16564.pdf.aid",25
"sa17261.pdf.servic",170
"sa17261.pdf.broadband",76
"sa17261.pdf.provid",65
"sa17261.pdf.project",60
"sa17261.pdf.infrastructur",35
"sa17261.pdf.avail",28
"sa17261.pdf.cost",27
"sa17261.pdf.requir",26
"sa17261.pdf.aid",24
"sa17261.pdf.author",24
"sa17581.pdf.servic",137
"sa17581.pdf.provid",80
"sa17581.pdf.broadband",67
"sa17581.pdf.fund",59
"sa17581.pdf.project",44
"sa17581.pdf.cost",38
"sa17581.pdf.commiss",29
"sa17581.pdf.infrastructur",29
"sa17581.pdf.busi",27
"sa17581.pdf.user",27
"sa17862.pdf.servic",129
"sa17862.pdf.provid",67
"sa17862.pdf.broadband",65
"sa17862.pdf.project",43
"sa17862.pdf.infrastructur",31
"sa17862.pdf.scotland",29
"sa17862.pdf.author",28
"sa17862.pdf.cost",27
"sa17862.pdf.access",26
"sa17862.pdf.aid",25
"sa18881.pdf.servic",82
"sa18881.pdf.provid",67
"sa18881.pdf.broadband",66
"sa18881.pdf.project",30
"sa18881.pdf.cost",26
"sa18881.pdf.access",24
"sa18881.pdf.select",22
"sa18881.pdf.wale",20
"sa18881.pdf.fund",19
"sa18881.pdf.infrastructur",19
"sa18884.pdf.servic",91
"sa18884.pdf.market",68
"sa18884.pdf.network",61
"sa18884.pdf.broadband",59
"sa18884.pdf.provid",49
"sa18884.pdf.commiss",47
"sa18884.pdf.appingedam",41
"sa18884.pdf.oper",38
"sa18884.pdf.access",34
"sa18884.pdf.measur",33
"sa19033.pdf.servic",32
"sa19033.pdf.provid",26
"sa19033.pdf.broadband",25
"sa19033.pdf.public",22
"sa19033.pdf.project",18
"sa19033.pdf.procur",17
"sa19033.pdf.commiss",15
"sa19033.pdf.measur",15
"sa19033.pdf.infrastructur",11
"sa19033.pdf.scotland",11
"sa19068.pdf.servic",69
"sa19068.pdf.wholesal",68
"sa19068.pdf.oper",65
"sa19068.pdf.broadband",46
"sa19068.pdf.author",39
"sa19068.pdf.market",38
"sa19068.pdf.measur",37
"sa19068.pdf.infrastructur",36
"sa19068.pdf.busi",35
"sa19068.pdf.provid",34
"sa19228.pdf.servic",69
"sa19228.pdf.broadband",58
"sa19228.pdf.access",46
"sa19228.pdf.measur",42
"sa19228.pdf.provid",40
"sa19228.pdf.aid",33
"sa19228.pdf.fund",31
"sa19228.pdf.infrastructur",29
"sa19228.pdf.elig",28
"sa19228.pdf.oper",24
"sa19515.pdf.market",108
"sa19515.pdf.infrastructur",99
"sa19515.pdf.servic",98
"sa19515.pdf.broadband",96
"sa19515.pdf.man",73
"sa19515.pdf.wholesal",72
"sa19515.pdf.oper",70
"sa19515.pdf.irish",68
"sa19515.pdf.author",65
"sa19515.pdf.network",64
"sa20582.pdf.broadband",58
"sa20582.pdf.servic",41
"sa20582.pdf.measur",38
"sa20582.pdf.provid",36
"sa20582.pdf.infrastructur",25
"sa20582.pdf.network",23
"sa20582.pdf.aid",21
"sa20582.pdf.access",17
"sa20582.pdf.cost",16
"sa20582.pdf.oper",16
"sa20674.pdf.servic",108
"sa20674.pdf.broadband",75
"sa20674.pdf.provid",50
"sa20674.pdf.project",45
"sa20674.pdf.author",44
"sa20674.pdf.advanc",43
"sa20674.pdf.infrastructur",41
"sa20674.pdf.technolog",41
"sa20674.pdf.south",40
"sa20674.pdf.yorkshir",40
"sa20821.pdf.aid",49
"sa20821.pdf.italia",48
"sa20821.pdf.telecom",48
"sa20821.pdf.provid",43
"sa20821.pdf.broadband",42
"sa20821.pdf.servic",41
"sa20821.pdf.italian",39
"sa20821.pdf.author",38
"sa20821.pdf.exchang",38
"sa20821.pdf.local",34
"sa20947.pdf.broadband",51
"sa20947.pdf.provid",45
"sa20947.pdf.servic",43
"sa20947.pdf.oper",33
"sa20947.pdf.measur",28
"sa20947.pdf.aid",25
"sa20947.pdf.access",20
"sa20947.pdf.infrastructur",20
"sa20947.pdf.author",19
"sa20947.pdf.select",19
"sa23082.pdf.broadband",36
"sa23082.pdf.servic",33
"sa23082.pdf.aid",24
"sa23082.pdf.measur",23
"sa23082.pdf.commiss",20
"sa23082.pdf.oper",17
"sa23082.pdf.fund",15
"sa23082.pdf.select",14
"sa23082.pdf.econom",13
"sa23082.pdf.project",13
"sa23179.pdf.broadband",64
"sa23179.pdf.servic",55
"sa23179.pdf.measur",26
"sa23179.pdf.market",21
"sa23179.pdf.provid",21
"sa23179.pdf.aid",19
"sa23179.pdf.econom",19
"sa23179.pdf.irish",19
"sa23179.pdf.commiss",16
"sa23179.pdf.ireland",16
"sa24558.pdf.measur",55
"sa24558.pdf.aid",44
"sa24558.pdf.author",28
"sa24558.pdf.project",28
"sa24558.pdf.commiss",24
"sa24558.pdf.intens",23
"sa24558.pdf.scenario",23
"sa24558.pdf.origin",15
"sa24558.pdf.amend",12
"sa24558.pdf.broadband",12
"sa24889.pdf.broadband",120
"sa24889.pdf.author",75
"sa24889.pdf.servic",74
"sa24889.pdf.measur",63
"sa24889.pdf.provid",59
"sa24889.pdf.aid",56
"sa24889.pdf.oper",54
"sa24889.pdf.tender",43
"sa24889.pdf.select",41
"sa24889.pdf.commiss",37
"sa25115.pdf.broadband",37
"sa25115.pdf.measur",35
"sa25115.pdf.aid",32
"sa25115.pdf.servic",29
"sa25115.pdf.oper",23
"sa25115.pdf.select",22
"sa25115.pdf.provid",21
"sa25115.pdf.commiss",17
"sa25115.pdf.author",16
"sa25115.pdf.access",15
"sa25124.pdf.broadband",78
"sa25124.pdf.servic",60
"sa25124.pdf.aid",51
"sa25124.pdf.measur",48
"sa25124.pdf.provid",44
"sa25124.pdf.fund",38
"sa25124.pdf.oper",35
"sa25124.pdf.select",31
"sa25124.pdf.municip",29
"sa25124.pdf.project",29
"sa25137.pdf.servic",70
"sa25137.pdf.measur",54
"sa25137.pdf.aid",46
"sa25137.pdf.project",32
"sa25137.pdf.provid",28
