"","x"
"abil",45
"abl",550
"abovement",13
"absenc",174
"absent",9
"acceler",71
"accept",63
"access",4816
"accompani",13
"accord",1231
"account",353
"accumul",17
"achiev",470
"acknowledg",49
"acquir",55
"acquisit",17
"act",212
"action",86
"activ",1128
"actor",18
"actual",145
"adapt",18
"add",20
"addit",674
"address",399
"adequ",371
"adjust",20
"administ",10
"administr",291
"admiss",9
"adopt",139
"adria",15
"adsl",128
"advanc",274
"advantag",958
"advers",104
"advertis",12
"advic",15
"affair",34
"affari",19
"affect",530
"afford",218
"aforement",12
"agcom",38
"age",9
"agenc",42
"agenda",204
"aggreg",45
"agre",119
"agreement",203
"agricultur",75
"aid",5850
"aim",583
"air",14
"albeit",11
"alia",90
"allevi",13
"alloc",117
"allow",843
"almunia",20
"alter",135
"altern",362
"ambiti",14
"amend",276
"amort",20
"amortis",22
"amount",822
"analog",11
"analys",58
"analysi",333
"ancillari",11
"annex",35
"announc",25
"annual",104
"answer",30
"ant",120
"antenna",81
"anticip",79
"anticompetit",18
"apart",39
"appear",66
"appli",374
"applic",713
"appoint",27
"approach",97
"appropri",615
"approv",426
"approx",88
"approxim",116
"architectur",55
"area",33
"argu",79
"argument",22
"aris",131
"arrang",37
"art",36
"articl",1380
"aspect",49
"assess",1019
"asset",100
"assign",13
"assist",53
"associ",95
"assum",33
"assumpt",30
"assur",38
"asymmetr",17
"atlas",65
"attach",32
"attain",15
"attent",24
"attract",175
"attribut",46
"audit",28
"auditor",18
"austria",215
"austrian",94
"auswärtigen",31
"author",4294
"authoris",75
"autonom",39
"avail",1699
"averag",254
"avoid",291
"awar",17
"award",410
"awarenessrais",14
"axi",37
"backbon",105
"background",15
"backhaul",1035
"balanc",321
"banda",13
"bandwidth",167
"bank",20
"barrier",97
"base",672
"basi",860
"basic",642
"bayern",29
"bear",60
"beforehand",9
"begin",15
"behalf",27
"behaviour",129
"belgië",65
"belgiqu",64
"belgiquebelgië",24
"belgium",39
"believ",14
"belong",75
"benchmark",199
"benefici",25
"beneficiari",813
"benefit",614
"berlin",32
"besid",39
"beyond",87
"bid",259
"bidder",535
"billion",21
"bind",24
"bitstream",64
"black",130
"block",13
"board",16
"bodi",211
"boost",15
"born",13
"branch",22
"breach",16
"break",22
