"","x"
"sa100662.pdf.croatia",0.193074053657068
"sa100662.pdf.gbit",0.067992796218834
"sa100662.pdf.rrf",0.0574009335055913
"sa100662.pdf.resili",0.0563764002386293
"sa100662.pdf.europaeu",0.0332666767984578
"sa100662.pdf.recoveri",0.0313068797104418
"sa100662.pdf.mbit",0.0265299032821462
"sa100662.pdf.croatian",0.0260294051056671
"sa100662.pdf.download",0.0228310502283105
"sa100662.pdf.facil",0.0196905863188793
"sa15145.pdf.lancashir",0.0298582058150092
"sa15145.pdf.cumbria",0.0290601529506726
"sa15145.pdf.agreement",0.0222711358415151
"sa15145.pdf.north",0.0173322703425812
"sa15145.pdf.isp",0.0157308453049343
"sa15145.pdf.enterpris",0.0119468832656283
"sa15145.pdf.negoti",0.00970201497472565
"sa15145.pdf.altmark",0.00871804588520179
"sa15145.pdf.payabl",0.00871804588520179
"sa15145.pdf.servic",0.00766635797281363
"sa16564.pdf.atlas",0.0667831340415931
"sa16564.pdf.park",0.0387977908044755
"sa16564.pdf.mmr",0.0234257306072741
"sa16564.pdf.telecom",0.0230681559168177
"sa16564.pdf.asset",0.0213782722936328
"sa16564.pdf.complain",0.0169948624400715
"sa16564.pdf.scottish",0.0145670249486327
"sa16564.pdf.plc",0.0115487408706702
"sa16564.pdf.return",0.0113045945563093
"sa16564.pdf.complaint",0.0107956814840172
"sa17261.pdf.lincolnshir",0.0391613845411978
"sa17261.pdf.revers",0.0179491218205231
"sa17261.pdf.smes",0.0169835017226487
"sa17261.pdf.lcc",0.013617574240864
"sa17261.pdf.ntl",0.013617574240864
"sa17261.pdf.counti",0.0131108026798986
"sa17261.pdf.midland",0.0124308654289681
"sa17261.pdf.east",0.0115257992311638
"sa17261.pdf.payment",0.0105521851759208
"sa17261.pdf.resel",0.00878586863203942
"sa17581.pdf.bbf",0.0208303137065397
"sa17581.pdf.itt",0.0156227352799047
"sa17581.pdf.emda",0.0130189460665873
"sa17581.pdf.supplier",0.0126245932162412
"sa17581.pdf.midland",0.012223959366993
"sa17581.pdf.smes",0.0115134434805076
"sa17581.pdf.east",0.0113339575815488
"sa17581.pdf.ssp",0.0104151568532698
"sa17581.pdf.resel",0.0100795705178151
"sa17581.pdf.revers",0.00882518345408135
"sa17862.pdf.scotland",0.0549205285358951
"sa17862.pdf.scottish",0.0255539188663767
"sa17862.pdf.execut",0.0146856150141112
"sa17862.pdf.island",0.0114835610760296
"sa17862.pdf.repay",0.00734280750705559
"sa17862.pdf.agreement",0.00638582796422706
"sa17862.pdf.cash",0.00599936437225006
"sa17862.pdf.irr",0.00599936437225006
"sa17862.pdf.supplier",0.00599238505772812
"sa17862.pdf.lfa",0.00587059002325725
"sa18881.pdf.wale",0.0485081498260175
"sa18881.pdf.blackspot",0.0187961873551658
"sa18881.pdf.assembl",0.0136362286348355
"sa18881.pdf.posttermin",0.0129729663960005
"sa18881.pdf.rebat",0.0109089829078684
"sa18881.pdf.irr",0.0102445286356551
"sa18881.pdf.welsh",0.00924912925882651
"sa18881.pdf.exchang",0.00789739275902363
"sa18881.pdf.resel",0.00727622247390262
"sa18881.pdf.kbps",0.00712549087411051
"sa18884.pdf.appingedam",0.0973192941742267
"sa18884.pdf.essent",0.0495231268653778
"sa18884.pdf.dutch",0.0430546806506125
"sa18884.pdf.foundat",0.0357462145017593
"sa18884.pdf.netherland",0.033931962885445
"sa18884.pdf.kpn",0.0330154179102519
"sa18884.pdf.vecai",0.0220102786068346
"sa18884.pdf.cpb",0.0192589937809803
"sa18884.pdf.layer",0.0174808749008066
"sa18884.pdf.municip",0.0126942286176444
"sa19033.pdf.scotland",0.0527062557589725
"sa19033.pdf.lap",0.0222795174888754
"sa19033.pdf.sps",0.0215510793837401
"sa19033.pdf.librari",0.0174736074163598
"sa19033.pdf.pupil",0.0148530116592503
"sa19033.pdf.learn",0.0117964721552844
"sa19033.pdf.school",0.0114220596304984
"sa19033.pdf.scottish",0.01077553969187
"sa19033.pdf.payabl",0.0101192133006624
"sa19033.pdf.buy",0.0100471015867347
"sa19068.pdf.wale",0.0584022570189875
"sa19068.pdf.fibrespe",0.0403071885778741
"sa19068.pdf.park",0.0311445961261867
"sa19068.pdf.welsh",0.0273003156367543
"sa19068.pdf.north",0.0133482795443967
"sa19068.pdf.gbp",0.00889885302959782
"sa19068.pdf.parc",0.00876000266797064
"sa19068.pdf.fibr",0.00628100663841225
"sa19068.pdf.technium",0.00584000177864709
"sa19068.pdf.wrexham",0.00584000177864709
"sa19228.pdf.greek",0.0428913189877423
"sa19228.pdf.axi",0.0273748804214093
"sa19228.pdf.lot",0.0187204308131653
"sa19228.pdf.ote",0.0164109718508153
"sa19228.pdf.greec",0.014327161766475
"sa19228.pdf.athen",0.0109406479005435
"sa19228.pdf.zone",0.0107453713248562
"sa19228.pdf.elig",0.0100640456076147
"sa19228.pdf.thessalonica",0.00951096895412826
"sa19228.pdf.upper",0.00805143541806156
"sa19515.pdf.man",0.0728894812009991
"sa19515.pdf.mse",0.0619562882165058
"sa19515.pdf.irish",0.0612567322837891
"sa19515.pdf.eircom",0.0527499953801026
"sa19515.pdf.phase",0.0236569831158507
"sa19515.pdf.dublin",0.0206413025400402
"sa19515.pdf.ireland",0.0195906908691471
"sa19515.pdf.town",0.018067709772316
"sa19515.pdf.comreg",0.0126441404523481
"sa19515.pdf.net",0.0112811486448519
"sa20582.pdf.latvian",0.0589783050027289
"sa20582.pdf.latvia",0.031882453062842
"sa20582.pdf.success",0.008498458448907
"sa20582.pdf.loop",0.00789600854145396
"sa20582.pdf.thereof",0.00512864691719162
"sa20582.pdf.ārlietu",0.00488297735848676
"sa20582.pdf.arti",0.00488297735848676
"sa20582.pdf.brīvības",0.00488297735848676
"sa20582.pdf.bulvāri",0.00488297735848676
"sa20582.pdf.eksel",0.00488297735848676
"sa20674.pdf.yorkshir",0.0481612490841587
"sa20674.pdf.south",0.0455871614770051
"sa20674.pdf.partner",0.0288714153757066
"sa20674.pdf.adsl",0.0207698316863451
"sa20674.pdf.uncontend",0.0203151807488991
"sa20674.pdf.spv",0.0188360734813337
"sa20674.pdf.advanc",0.0150426668707987
"sa20674.pdf.secreci",0.00963224981683173
"sa20674.pdf.circuit",0.00941803674066687
"sa20674.pdf.hdtv",0.00895994614235531
"sa20821.pdf.italia",0.0863188556945529
"sa20821.pdf.sardinia",0.0491417217081129
"sa20821.pdf.italian",0.0457411694773707
"sa20821.pdf.telecom",0.0390609609262992
"sa20821.pdf.adsl",0.0349046256713645
"sa20821.pdf.exchang",0.0263881847706686
"sa20821.pdf.tiscali",0.0199627112214318
"sa20821.pdf.olo",0.0165276819847147
"sa20821.pdf.sardinian",0.0114072635551039
"sa20821.pdf.commune",0.0112036584866241
"sa20947.pdf.tuscani",0.0620322764287977
"sa20947.pdf.italian",0.0266490979455789
"sa20947.pdf.della",0.0118810531889028
"sa20947.pdf.regional",0.01076847587203
"sa20947.pdf.provinc",0.0107061072763572
"sa20947.pdf.conoscenza",0.0083452488188571
"sa20947.pdf.dellinformazion",0.0083452488188571
"sa20947.pdf.telematica",0.0083452488188571
"sa20947.pdf.lot",0.0082129725102432
"sa20947.pdf.rete",0.0071997734465776
"sa23082.pdf.badenwürttemberg",0.054488682668683
"sa23082.pdf.eckpunkt",0.0247675830312195
"sa23082.pdf.baden",0.0213699708271456
"sa23082.pdf.württemberg",0.0213699708271456
"sa23082.pdf.breitbandanschlüssen",0.0160274781203592
"sa23082.pdf.versorgung",0.0160274781203592
"sa23082.pdf.mit",0.0148605498187317
"sa23082.pdf.mittel",0.0148605498187317
"sa23082.pdf.verwendung",0.0148605498187317
"sa23082.pdf.öffentlich",0.0139554099080831
"sa23179.pdf.nbs",0.0625356413636245
"sa23179.pdf.irish",0.0608604425173736
"sa23179.pdf.dcenr",0.0449599586470833
"sa23179.pdf.ireland",0.0398059776458328
"sa23179.pdf.prefer",0.0208391311112656
"sa23179.pdf.eircom",0.016310271010418
"sa23179.pdf.comreg",0.013487987594125
"sa23179.pdf.llu",0.00883149617472089
"sa23179.pdf.unserv",0.00724038545550438
"sa23179.pdf.insert",0.00613076140037518
"sa24558.pdf.scenario",0.0651275789631001
"sa24558.pdf.wale",0.0518084538071663
"sa24558.pdf.temporari",0.0348139467613469
"sa24558.pdf.worst",0.0251919928611713
"sa24558.pdf.origin",0.0242431394322257
"sa24558.pdf.fibrespe",0.0188939946458785
"sa24558.pdf.temporarili",0.0188939946458785
"sa24558.pdf.gbp",0.0185392771449954
"sa24558.pdf.intens",0.0147851289268668
"sa24558.pdf.amend",0.0131732784767403
"sa24889.pdf.complain",0.058820056489723
"sa24889.pdf.astra",0.0370640494441323
"sa24889.pdf.scotland",0.0313860839685097
"sa24889.pdf.ltdses",0.0231650309025827
"sa24889.pdf.databas",0.0197683158044353
"sa24889.pdf.scottish",0.0184863034681986
"sa24889.pdf.ses",0.0138990185415496
"sa24889.pdf.pqq",0.0115825154512913
"sa24889.pdf.satellit",0.0112792162554249
"sa24889.pdf.para",0.0112646124113777
"sa25115.pdf.bayern",0.0242903377082121
"sa25115.pdf.german",0.018810834375988
"sa25115.pdf.minimi",0.0083576637328993
"sa25115.pdf.para",0.00640096471340332
"sa25115.pdf.haushaltvorschriften",0.00529966460275063
"sa25115.pdf.lift",0.00529966460275063
"sa25115.pdf.municip",0.00515319904637781
"sa25115.pdf.eeurop",0.00499742685324601
"sa25115.pdf.rare",0.00418505406743245
"sa25115.pdf.vergaberecht",0.00418505406743245
"sa25124.pdf.eafrd",0.0197490901949641
"sa25124.pdf.gak",0.0195807289588359
"sa25124.pdf.länder",0.0147201450197072
"sa25124.pdf.german",0.0143686021274722
"sa25124.pdf.municip",0.0126834927723714
"sa25124.pdf.germani",0.0124119687455554
"sa25124.pdf.feder",0.0120350148668633
"sa25124.pdf.max",0.00746682545471156
"sa25124.pdf.der",0.00706823051510509
"sa25124.pdf.converg",0.00680816086585949
"sa25137.pdf.trunk",0.0235847451989016
"sa25137.pdf.pilot",0.0193520421323433
"sa25137.pdf.spanish",0.0185846939070644
"sa25137.pdf.telephoni",0.0159095800259905
"sa25137.pdf.dissemin",0.0122159212632376
"sa25137.pdf.spain",0.0119287076075202
"sa25137.pdf.soft",0.0114409226656118
"sa25137.pdf.subprogramm",0.0109664860293963
"sa25137.pdf.viabil",0.00962751443335246
"sa25137.pdf.loan",0.00824235378540454
"sa25435.pdf.sachsen",0.0268326137360198
"sa25435.pdf.freistaat",0.0201718723691215
"sa25435.pdf.german",0.0165299879135578
"sa25435.pdf.eafrd",0.0137464527985868
"sa25435.pdf.feder",0.0101490966617445
"sa25435.pdf.municip",0.0095894781417428
"sa25435.pdf.gak",0.00894420457867326
