"sa100662.pdf" "sa15145.pdf" "sa16564.pdf" "sa17261.pdf" "sa17581.pdf" "sa17862.pdf" "sa18881.pdf" "sa18884.pdf" "sa19033.pdf" "sa19068.pdf" "sa19228.pdf" "sa19515.pdf" "sa20582.pdf" "sa20674.pdf" "sa20821.pdf" "sa20947.pdf" "sa23082.pdf" "sa23179.pdf" "sa24558.pdf" "sa24889.pdf" "sa25115.pdf" "sa25124.pdf" "sa25137.pdf" "sa25435.pdf" "sa25739.pdf" "sa25740.pdf" "sa25779.pdf" "sa26377.pdf" "sa26413.pdf" "sa27517.pdf" "sa28092.pdf" "sa28156.pdf" "sa28192.pdf" "sa28435.pdf" "sa28438.pdf" "sa28665.pdf" "sa28845.pdf" "sa28969.pdf" "sa29001.pdf" "sa29028.pdf" "sa29119.pdf" "sa29606.pdf" "sa29706.pdf" "sa29729.pdf" "sa297291.pdf" "sa29775.pdf" "sa29826.pdf" "sa29874.pdf" "sa30296.pdf" "sa30317.pdf" "sa303171.pdf" "sa30705.pdf" "sa30791.pdf" "sa31219.pdf" "sa31229.pdf" "sa31230.pdf" "sa31346.pdf" "sa31687.pdf" "sa31729.pdf" "sa31851.pdf" "sa32021.pdf" "sa32037.pdf" "sa32309.pdf" "sa32829.pdf" "sa32866.pdf" "sa33077.pdf" "sa33092.pdf" "sa33099.pdf" "sa33151.pdf" "sa33221.pdf" "sa33222.pdf" "sa33324.pdf" "sa33364.pdf" "sa33386.pdf" "sa33420.pdf" "sa33438.pdf" "sa33473.pdf" "sa33641.pdf" "sa33656.pdf" "sa33671.pdf" "sa33807.pdf" "sa33869.pdf" "sa34031.pdf" "sa34166.pdf" "sa34188.pdf" "sa34199.pdf" "sa34290.pdf" "sa34665.pdf" "sa34708.pdf" "sa34732.pdf" "sa34809.pdf" "sa34845.pdf" "sa34932.pdf" "sa35000.pdf" "sa35027.pdf" "sa35028.pdf" "sa35029.pdf" "sa35060.pdf" "sa35233.pdf" "sa35562.pdf" "sa35834.pdf" "sa35913.pdf" "sa35949.pdf" "sa36132.pdf" "sa36234.pdf" "sa36601.pdf" "sa36703.pdf" "sa36918.pdf" "sa37558.pdf" "sa37682.pdf" "sa37685.pdf" "sa37812.pdf" "sa37860.pdf" "sa37864.pdf" "sa38025.pdf" "sa38348.pdf" "sa38626.pdf" "sa38690.pdf" "sa39089.pdf" "sa39090.pdf" "sa39518.pdf" "sa40720.pdf" "sa41065.pdf" "sa41175.pdf" "sa41416.pdf" "sa43404.pdf" "sa43484.pdf" "sa46203.pdf" "sa46372.pdf" "sa46613.pdf" "sa46731.pdf" "sa46805.pdf" "sa48325.pdf" "sa48418.pdf" "sa49445.pdf" "sa49614.pdf" "sa49935.pdf" "sa50844.pdf" "sa52224.pdf" "sa52732.pdf" "sa54668.pdf" "sa54684.pdf" "sa55578.pdf" "sa56426.pdf" "sa56599.pdf" "sa57216.pdf" "sa57357.pdf" "sa57495.pdf" "sa57496.pdf" "sa57497.pdf" "sa58074.pdf" "sa58099.pdf" "sa58261.pdf" "sa59574.pdf" "sa62696.pdf" "sa63172.pdf" "tdm.tfidf.median.rw"
"…evalu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00495303563346119 0 0 0 0 0 0 0 0.00181083325233715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"„deliv" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00265309621954197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"„equival" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00795928865862591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"„servic" 0 0 0 0 0 0 0 0.00275128482585432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"„terra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00142237450583019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"„ал" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002465449143439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"«très" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123291530381762 0.00188921016497212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"•ga" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00286038563755879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"•kla" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00286038563755879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"•lruni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00286038563755879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"•rlietu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00286038563755879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abadess" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109456163143964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abandon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00337503831743108 0 0 0.0026513673107633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0296126738604732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abat" 0 0.00309449778621912 0 0 0 0 0.0027272457269671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00246635661169494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0015886390799105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abbrevi" 0 0 0 0.00226959570681067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"aberti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00328368489431892 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abfrag" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925130440490444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abid" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00259636572304428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abil" 0 0 0 0 0 0 0.00105132853736773 0 0 0.00244986938527294 0.00177325909958108 0.000409872199842821 0.00136559966851117 0.00217834073993442 0.000924444058719902 0.00116693854834975 0.0019095358063905 0.00145742110544969 0 0.00129569138659374 0 0.000874828125984827 0 0 0 0 0 0 0 0 0 0.00106340015940431 0.00089756594952364 0 0 0.0012063201334628 0 0 0.000947662653683099 0.000973006067535178 0 0 0.000950758145319021 0 0 0 0 0 0 0 0 0 0 0 0 0.00106729947900401 0 0 0 0.000957459917959898 0 0 0 0 0 0 0.000455810896066815 0 0.00100915042368433 0 0.00037626495021582 0 0 0.000453780557999702 0 0.000391370477414265 0.000405386929052659 0 0 0 0 0 0 0 0 0 0 0 0.000486038813315521 0 0 0 0.000470765874634626 0 0 0 0 0 0 0.00120134121781761 0.000987148597586562 0 0.000637906920920057 0 0 0 0 0.000495494821356679 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000408066233811068 0 0 0 0 0 0.00088895056955439 0 0 0 0 0 0 0 0 0.000938495949064331 0 0 0 0 0 0 0 0 0.000477831778944339 0 0.00168804863746368 0 0 0 0 0 0 0 0.000362669046888335 0
"abl" 0 0.000147528815763933 0.000231492161070095 0.000156996397087102 0.000270170711927946 0.000203045300019982 0.00065010117988854 9.51583146996972e-05 0 0.000201987348556952 0.000548257653013051 0.000152069533690282 0.000506660624647717 0.000179600297451745 0.00045731255412849 0.000721589969429548 0.000236156717267852 0.000180242644724462 0.00025248418569619 0.000320482311382891 0.000212461397407081 0.000216384042357061 0.000126432121086201 0.000131788293579915 0.000148485101546728 0.000177200574771307 0.000195636038295651 0 0.000347557541137652 0 0.000736781337207012 0.000657565807215026 0.000444016241982023 0.000498968747177818 0.00040381284827692 0.000596753623030901 0.0014704914725082 0.000378574545259612 0.000351598907895067 0.00180500872009168 0.000458811393526581 0.00040092158683341 0.0004703298503496 0 0 0.000629161591322842 0.000447963053021863 0.000530855092678648 0 0.00037552789467183 0.000348518972786719 0.00031735417799093 0.000291642612644442 0.000880020549446326 0.000427808518378265 0.000659976996660026 0.00016922714393875 0.000585998179825112 0.00027553768980295 0.000710467718021047 0 0.000163516688724723 0.00111990763255466 0 0.00104991340551999 0.000280913285757857 0.000450969516464963 0.000575295016723283 0.000499215883753934 0 0.000418802023254512 0.000593590617961833 0.000184600159212306 0.000448960743563115 0.000707806790238197 0.000387213549481057 0.000401081125865178 0.000527337043581719 0.000324966749193704 0.000642551946885519 0.000757376667642916 0.000722003488036671 0.000945351770318137 0.000641168491920606 0 0.000483490663239139 0.000654491473570904 0.000629948043311995 0.000300547730587784 0.00022113138861325 0.000824809222012432 0 0.000349324238435487 0.000175350881924007 0.000643625076180838 0.000643625076180838 0.000643625076180838 0.000735705744014009 0 0.000297145303449054 0.000244165908260463 0 0.000315565707357292 0.00015729039783071 0.000596905083341315 0.000153365317909189 0.000431471262542462 0.000306394962700387 0.000138793289630844 0.000719940620927994 0.000274337743412954 0 0 0 0.000186237411178713 0 7.00136752777988e-05 9.63591653249706e-05 0.000298907731108895 0.000298907731108895 0.000468580599395254 0.00052989821388151 0.00043189385927365 0.000198565183077067 0 0 0 0.00010993857649424 0 0 0.000565609915431646 0.000290382272918235 0.000901061568052496 0.000238240671911249 0 0.000304506607039031 0.000812461778569132 0.000226260895532593 0.000486446365491888 4.91954739017568e-05 7.13417942595691e-05 0.00021015781261451 8.05045422762933e-05 0.000347078811742146 0.00171804011812362 0.000177283689487428 0.000627985588348406 0.00104382442968019 0.000837782563995492 0.000957489109530581 0 0.00020408683908596 0.00015449369547811 0.000257252901811943 0.00139215037196021 0.000179408485101316 0.000304506607039031
"abolish" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0337924850476465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0024035954947848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abov" 0 0 0 0 0 0 0 0.00199599781679088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00364510497852569 0 0 0 0 0 0 0 0 0 0.0024583266134243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00184353059604543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"abovement" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00365820197103994 0 0 0 0 0 0 0 0 0 0 0 0 0.00193396485781012 0 0 0 0 0.00489937763978564 0 0 0 0 0 0 0 0 0 0 0 0 0.00287092934595043 0 0 0.00123699345278627 0 0 0 0 0 0 0 0 0.00180582589619128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0117921983307161 0.00762125410633321 0 0 0 0 0 0 0 0 0.00201541489589615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
